Profile;Social network;Fans;Profile-ID;Link;
"Tenente Bahia | Candidato a Vereador por São Paulo";INSTAGRAM;562689.0;7268201457;https://www.fanpagekarma.com/discovery?view=PROFILES&id=7268201457&n=INSTAGRAM&tl0=profiles;
"Sargento Nantes ROTA";INSTAGRAM;535679.0;12257268044;https://www.fanpagekarma.com/discovery?view=PROFILES&id=12257268044&n=INSTAGRAM&tl0=profiles;
"operacaolotus";TIKTOK;248500.0;7153319494650430470;https://www.fanpagekarma.com/discovery?view=PROFILES&id=7153319494650430470&n=TIKTOK&tl0=profiles;
"Sargento Cavalcanti";INSTAGRAM;243119.0;29228319557;https://www.fanpagekarma.com/discovery?view=PROFILES&id=29228319557&n=INSTAGRAM&tl0=profiles;
"Deycon Silva";FACEBOOK;222714.0;1756388021279155;https://www.fanpagekarma.com/discovery?view=PROFILES&id=1756388021279155&n=FACEBOOK&tl0=profiles;
"Sargento Nantes";TIKTOK;222300.0;6999446196793082885;https://www.fanpagekarma.com/discovery?view=PROFILES&id=6999446196793082885&n=TIKTOK&tl0=profiles;
"Leões andam com Leões ";YOUTUBE;220000.0;UCFmff5mlDSDwEncABDHEUFQ;https://www.fanpagekarma.com/discovery?view=PROFILES&id=UCFmff5mlDSDwEncABDHEUFQ&n=YOUTUBE&tl0=profiles;
"Operação Lótus ";YOUTUBE;188000.0;UCKyb8x0gMh3q7bRK-lyDKiA;https://www.fanpagekarma.com/discovery?view=PROFILES&id=UCKyb8x0gMh3q7bRK-lyDKiA&n=YOUTUBE&tl0=profiles;
"Marcio Kenji Ito";INSTAGRAM;129206.0;27465191;https://www.fanpagekarma.com/discovery?view=PROFILES&id=27465191&n=INSTAGRAM&tl0=profiles;
"Marcio kenji";TIKTOK;113000.0;6839164095440225285;https://www.fanpagekarma.com/discovery?view=PROFILES&id=6839164095440225285&n=TIKTOK&tl0=profiles;
"Sargento Nantes ROTA";FACEBOOK;98391.0;382858871905792;https://www.fanpagekarma.com/discovery?view=PROFILES&id=382858871905792&n=FACEBOOK&tl0=profiles;
"Antônia de Jesus";INSTAGRAM;72440.0;67809184699;https://www.fanpagekarma.com/discovery?view=PROFILES&id=67809184699&n=INSTAGRAM&tl0=profiles;
"Capitão Alisson";INSTAGRAM;64088.0;7508394976;https://www.fanpagekarma.com/discovery?view=PROFILES&id=7508394976&n=INSTAGRAM&tl0=profiles;
"Sargento Galesco";FACEBOOK;62112.0;235969629943096;https://www.fanpagekarma.com/discovery?view=PROFILES&id=235969629943096&n=FACEBOOK&tl0=profiles;
"Delegado Roberto Monteiro";INSTAGRAM;56422.0;9049036023;https://www.fanpagekarma.com/discovery?view=PROFILES&id=9049036023&n=INSTAGRAM&tl0=profiles;
"ritaguedes7068";TIKTOK;47900.0;7101665853158638597;https://www.fanpagekarma.com/discovery?view=PROFILES&id=7101665853158638597&n=TIKTOK&tl0=profiles;
"SargentoGalesco";TIKTOK;46700.0;6932163372444451846;https://www.fanpagekarma.com/discovery?view=PROFILES&id=6932163372444451846&n=TIKTOK&tl0=profiles;
"Bioto NPN";INSTAGRAM;45136.0;10920372064;https://www.fanpagekarma.com/discovery?view=PROFILES&id=10920372064&n=INSTAGRAM&tl0=profiles;
"Luiz Carlos de Paula";INSTAGRAM;39228.0;284528802;https://www.fanpagekarma.com/discovery?view=PROFILES&id=284528802&n=INSTAGRAM&tl0=profiles;
"Rita Guedes";INSTAGRAM;33379.0;8613863555;https://www.fanpagekarma.com/discovery?view=PROFILES&id=8613863555&n=INSTAGRAM&tl0=profiles;
